C:\Users\or\Documents\School\SP\HW1\HW1_C\cmake-build-debug\HW1_C.exe 15 50000 15 5
-19.54,20.93,33.96,40.74,23.60,17.71,-6.14,12.09,0.21,49.16,26.00,6.35,-3.99,28.20,31.92
18.71,-4.56,37.12,-15.49,23.37,14.77,-2.13,-4.54,32.29,36.19,43.92,35.58,34.14,-0.10,15.81
29.45,-11.34,8.44,10.15,31.19,42.62,16.49,14.82,-12.62,14.25,2.96,-13.00,37.65,27.50,44.25
49.36,32.76,33.26,41.49,11.46,44.72,-7.30,42.51,39.07,25.92,19.59,6.54,18.37,-2.40,2.96
36.77,9.93,-7.20,0.07,40.26,7.86,4.63,40.04,10.99,27.74,-6.82,42.20,-11.75,32.25,5.28
-9.29,-7.34,-7.12,32.66,8.95,38.85,27.70,20.74,38.99,25.90,9.69,36.34,42.38,46.01,11.85
-8.91,26.70,7.26,23.81,19.92,31.70,31.61,48.95,25.16,-4.03,46.67,48.09,1.79,-4.09,9.57
27.64,22.99,40.98,-3.82,29.79,34.39,40.37,-0.13,41.80,0.81,24.96,-1.38,-5.97,47.04,13.57
9.62,23.90,38.80,43.58,12.56,-4.05,15.44,-9.97,45.61,-11.15,-1.38,42.33,18.02,21.55,26.22
-1.64,23.75,24.48,20.99,40.61,-10.67,37.27,45.40,39.85,25.58,-1.20,-7.83,32.99,-3.04,14.92
39.80,37.12,-10.77,-6.91,-4.60,11.05,34.05,43.27,30.69,24.00,40.53,10.63,29.67,24.11,42.43
13.25,11.39,46.72,7.57,-8.29,-2.00,8.50,38.89,-16.11,-1.98,11.39,23.90,38.56,36.24,8.68
39.32,14.42,33.98,23.82,-0.40,14.49,46.94,5.82,-6.32,38.85,3.63,32.82,-7.26,-10.07,36.29
43.40,38.19,-8.60,41.66,21.08,-6.97,6.85,-5.88,6.99,24.07,36.40,8.32,27.84,42.59,3.43
-1.23,32.73,-10.16,12.02,18.35,32.91,18.75,-12.85,-3.31,-5.25,16.31,5.16,18.69,-14.54,5.33

Process finished with exit code 0
