47.78,22.57,70.42,15.51,1.48,61.30,21.24
-10.94,-10.49,8.34,60.37,29.79,-17.88,-22.58
6.33,-13.42,-9.98,48.88,4.02,4.79,38.14
34.21,-23.79,53.08,14.55,11.36,24.24,58.65
46.56,65.37,67.45,9.33,2.90,40.95,30.58
-7.48,58.32,0.15,18.83,59.24,1.05,41.31
67.08,15.70,-19.73,66.06,26.03,72.72,40.31
7.83,11.19,37.11,47.70,-19.04,16.15,-20.26
-14.47,60.52,-3.52,12.08,23.60,8.07,14.74
-14.25,39.19,71.19,-23.41,35.98,29.33,-6.11
54.85,43.48,12.37,66.76,10.23,42.98,7.05
-3.83,11.74,57.93,-11.95,52.94,28.50,58.34
19.95,7.71,15.56,21.22,20.79,4.22,68.10
60.82,-17.36,-19.20,-12.80,59.32,25.03,58.35
11.89,5.96,22.15,56.90,-5.91,20.79,43.97
27.99,52.87,56.68,64.17,38.50,21.28,40.40
45.85,26.66,62.61,37.22,-15.43,-0.16,-15.35
64.03,53.87,35.49,61.12,20.75,-19.11,14.64
9.57,-10.14,28.01,10.68,50.68,11.36,15.97
12.41,-21.00,28.18,25.40,59.92,39.05,40.33
35.43,-7.90,5.27,45.45,25.65,-11.08,65.72
20.00,40.82,61.04,-15.14,42.57,29.45,63.47
72.25,21.88,67.93,25.29,-12.89,43.82,10.63
22.95,51.48,-12.86,2.68,20.14,51.86,68.09
53.17,-23.98,55.06,46.85,-3.42,22.55,-1.97
25.64,-1.18,10.24,13.97,63.02,39.25,-8.96
41.97,-5.36,24.52,58.21,45.71,-11.99,48.79
60.83,65.45,28.98,62.63,34.46,10.71,39.44
-20.24,70.21,1.06,59.87,58.05,45.03,-2.71
6.78,72.52,9.96,0.78,35.04,5.22,-16.71
1.21,23.12,2.43,27.33,16.49,-23.40,40.83
-24.00,23.02,68.58,61.32,-14.60,48.65,66.64
7.38,-14.75,-2.17,34.80,63.29,-16.56,-13.00
47.89,22.97,21.23,-2.96,-10.36,43.29,3.18
7.82,-11.38,50.61,12.09,39.24,34.12,-16.19
35.78,25.50,36.33,6.09,29.21,44.07,-0.86
47.44,-20.67,14.80,-19.73,36.72,-23.85,26.97
55.87,72.65,69.42,4.49,-10.24,37.79,18.52
64.26,42.14,29.92,12.71,49.45,37.02,61.85
65.56,17.82,41.36,16.94,41.33,41.06,-13.17
54.79,61.46,17.38,43.12,7.52,71.55,-15.52
-14.76,23.25,64.19,17.27,9.83,73.11,47.78
63.57,54.67,-11.38,43.18,45.51,-24.08,35.34
43.21,-22.52,-15.88,69.06,-5.32,45.73,8.77
56.56,39.46,41.98,-19.29,22.57,66.87,60.93
0.20,55.91,20.45,48.69,42.57,20.52,50.66
-19.11,-21.51,-19.24,43.81,25.06,-15.72,8.65
35.87,33.13,29.19,13.94,65.76,-2.91,11.34
58.92,49.05,36.42,10.06,-13.94,6.01,42.92
2.04,37.78,45.57,-5.92,50.31,11.20,37.44
58.42,31.92,35.29,14.13,35.84,72.64,0.46
20.66,2.99,45.42,-4.93,71.93,9.18,8.98
-19.78,-5.12,63.56,14.99,50.48,-9.26,15.32
28.52,13.11,55.23,22.32,50.02,58.86,53.91
61.72,24.75,15.89,64.43,39.00,33.69,-21.57
-21.45,29.91,17.89,20.58,11.36,-16.07,59.30
