-5.34,64.32,59.56,67.60,41.36
-14.10,79.84,39.73,-8.25,20.67
54.05,49.83,52.38,72.04,45.22
61.91,10.75,-20.67,33.09,-23.44
43.76,33.17,26.61,15.05,19.49
43.38,32.51,34.31,2.22,59.59
33.31,-10.82,35.35,66.32,31.75
62.93,62.24,60.87,32.29,74.39
29.71,-10.64,42.67,8.58,-21.68
40.83,35.47,22.10,79.76,1.88
80.02,28.91,-4.53,79.81,22.84
49.48,-9.97,-26.00,31.02,-12.64
60.09,-7.54,40.78,28.83,-3.88
51.00,-16.23,-22.64,39.39,28.11
20.39,32.32,15.89,29.94,-7.63
42.60,-3.07,37.20,-1.40,7.15
-8.07,1.92,60.35,69.85,29.50
26.38,78.65,77.00,2.97,31.45
47.53,61.16,10.98,78.62,-23.70
51.09,11.12,75.34,-20.40,81.04
11.82,74.85,-16.58,-13.58,58.03
54.22,56.90,49.24,61.44,80.01
-24.77,15.28,-2.72,2.62,68.07
73.28,28.03,29.53,52.46,-8.46
42.43,65.59,39.51,79.54,29.89
58.63,21.66,-21.84,68.94,16.94
-20.89,-12.36,58.92,66.71,-5.93
2.08,6.38,-9.32,-0.91,-25.84
46.84,5.78,47.89,-21.97,1.66
18.89,63.60,66.00,4.41,68.78
68.16,50.37,-21.96,38.48,28.58
55.74,34.71,-12.14,-11.05,75.62
4.92,44.45,81.55,21.98,30.56
5.85,37.80,80.40,79.67,76.96
51.48,56.43,-18.46,46.04,71.02
-7.14,25.58,10.81,59.22,30.20
11.14,62.23,-20.30,34.22,60.38
58.67,39.35,55.64,50.12,22.42
-17.18,41.76,52.58,72.39,-9.35
63.72,30.72,27.70,39.20,22.71
19.05,-21.68,40.69,-14.73,34.28
-18.13,-17.05,28.08,-5.65,-22.70
23.42,32.89,-14.72,2.26,-1.07
-5.33,76.90,34.90,66.98,24.18
-17.21,48.46,-16.16,31.84,-20.84
-24.25,-8.38,29.01,35.96,-19.97
36.43,81.82,55.03,29.14,48.61
16.79,50.34,17.04,62.18,71.29
79.39,45.82,-16.77,54.57,-3.41
81.23,37.15,81.61,48.46,-9.15
62.15,74.24,70.65,66.13,-7.51
59.21,46.27,63.07,68.32,45.21
54.07,-22.23,26.51,53.48,22.72
81.19,23.90,23.57,34.43,5.83
32.12,70.99,22.88,30.29,75.29
33.27,51.17,53.31,34.63,36.71
-2.00,75.67,80.54,53.20,73.69
71.42,44.12,17.09,81.50,28.07
1.74,30.21,29.62,-4.28,-16.21
56.54,66.62,15.60,12.19,65.63
-12.11,-16.90,-20.49,-3.96,10.28
51.67,73.02,63.16,-18.62,38.99
8.07,2.71,38.52,11.57,48.05
39.37,78.52,38.55,74.64,39.16
71.88,24.89,74.69,-17.24,28.24
16.48,-14.09,39.22,54.54,-25.16
21.66,9.68,8.27,35.74,27.32
45.03,-18.15,-22.32,-14.07,31.53
23.73,9.64,63.54,81.12,42.66
4.48,-24.96,-13.43,67.38,13.56
-25.43,57.33,65.04,-7.32,64.28
21.75,69.28,28.20,42.60,66.59
37.26,32.96,10.04,-9.29,11.17
68.25,41.72,44.71,3.97,36.63
44.74,62.72,25.29,27.08,25.41
-24.83,66.45,-3.78,53.62,73.50
32.05,58.76,1.84,0.93,-2.59
-25.74,-12.50,58.29,15.16,8.40
-6.33,37.33,28.02,24.28,20.31
20.11,40.53,79.27,6.58,59.12
8.48,46.40,30.99,67.59,45.57
34.21,77.90,-19.76,68.65,1.08
-9.79,78.51,23.39,71.67,80.24
48.27,-18.53,1.57,7.15,41.81
39.89,58.68,80.40,33.48,51.50
31.13,38.66,65.70,1.86,72.30
-4.89,-14.94,57.80,77.59,20.64
27.13,-20.33,-17.10,30.67,10.29
-19.04,-23.26,56.67,36.55,32.80
70.78,76.86,46.59,24.19,32.94
8.85,28.19,26.38,-4.91,50.69
60.23,42.13,67.96,80.28,-20.16
53.26,53.58,-22.23,40.45,-10.30
57.37,16.29,-24.21,71.55,-20.01
44.96,64.42,45.44,73.89,-21.30
69.32,18.83,-19.44,-16.42,30.39
68.86,75.54,-9.41,15.56,42.50
11.13,80.16,-15.81,63.24,49.06
24.83,-12.06,24.82,15.14,31.36
-1.63,-26.11,78.13,36.16,72.60
56.45,39.26,78.85,59.84,-23.98
13.67,73.80,-14.08,59.66,-24.15
-10.50,78.92,79.36,7.28,-5.50
78.01,22.30,15.22,22.68,67.09
57.23,-26.14,75.96,19.66,-5.29
-3.22,76.94,23.43,63.02,-23.44
77.95,47.18,25.97,58.33,73.66
34.87,30.80,56.83,-16.55,74.15
27.40,-13.35,-6.67,28.22,71.84
14.16,67.39,-16.42,50.87,6.32
5.30,62.47,31.54,-23.62,27.37
72.10,44.56,36.60,33.15,39.36
-5.23,-2.27,-17.17,-19.30,81.70
54.99,32.84,66.96,70.56,26.76
25.76,26.89,76.94,19.13,75.17
74.36,41.26,-9.57,50.28,27.02
4.41,-25.42,3.37,7.33,-6.84
69.28,72.16,-23.23,22.59,-5.32
-9.59,18.22,80.89,13.65,50.08
54.05,5.99,28.82,-8.62,47.83
66.57,-3.81,39.02,59.08,-2.59
46.89,60.99,6.19,30.98,80.67
-0.77,27.38,21.65,38.19,12.47
12.55,-19.74,10.05,56.59,56.63
36.06,-11.70,-6.97,58.03,14.47
20.02,-18.07,61.72,43.29,-3.58
42.43,-15.39,45.79,8.28,15.54
59.37,26.11,-15.66,31.81,-5.40
74.22,-2.21,44.61,21.74,8.39
77.50,70.44,-18.55,-2.38,12.68
21.73,50.44,-22.23,33.66,53.90
25.45,17.95,-0.37,50.45,-20.99
57.64,34.53,30.79,-0.12,63.83
61.55,60.98,-2.86,18.70,66.75
-1.71,48.04,17.66,-14.29,-0.57
13.31,60.91,-16.10,24.43,60.05
5.66,-4.55,9.41,79.66,19.34
-15.58,63.86,59.25,23.45,49.21
3.00,14.71,0.18,-13.22,25.19
-16.11,-4.97,43.18,71.52,44.85
23.41,37.13,-14.69,16.70,74.58
-6.06,44.78,4.50,-3.34,-4.89
17.03,23.81,73.82,3.33,-11.31
23.54,72.15,29.31,59.32,75.48
63.07,53.53,7.18,65.06,-5.78
